device_id,persona,home_lat,home_lon,nearest_store_id,nearest_store_name,distance_to_nearest_store_m,catchment_ring,dist_to_STR001_m,dist_to_STR002_m,dist_to_STR003_m,catchment_overlap_count,overlapping_stores,visited_any_store
00597275-893a-4b24-aa7c-c152891570d9,Commuter,21.139423,79.063967,STR001,Store A - Sitabuldi,2036.7,1-3km,2036.7,2591.1,4402.9,2,"STR001,STR002",False
01af6e24-4f45-433a-9c07-877f8a5a5e89,Commuter,21.168708,79.105309,STR002,Store B - Civil Lines,2808.3,1-3km,3348.9,2808.3,8969.5,1,STR002,False
01f57072-c000-4d34-adf0-8e37f3fe6205,Resident,21.160014,79.073026,STR001,Store A - Sitabuldi,1327.8,1-3km,1327.8,1528.4,6808.7,2,"STR001,STR002",False
02317c08-4a6c-4034-a8f0-f82835cf14d4,Commuter,21.168678,79.105291,STR002,Store B - Civil Lines,2804.7,1-3km,3345.4,2804.7,8965.7,1,STR002,False
03e467b7-7b63-46e0-b4a5-0b8f5ae208d8,Commuter,21.139393,79.06402,STR001,Store A - Sitabuldi,2034.2,1-3km,2034.2,2588.3,4400.1,2,"STR001,STR002",False
03f3ec0d-32d2-4914-881f-3f568e6fb639,Commuter,21.139422,79.064011,STR001,Store A - Sitabuldi,2033.1,1-3km,2033.1,2587.4,4403.2,2,"STR001,STR002",False
04b7895b-480e-4646-af52-9525ddd770ab,Resident,21.168703,79.105315,STR002,Store B - Civil Lines,2808.4,1-3km,3349.1,2808.4,8969.4,1,STR002,False
051e65d7-ccca-4a4a-8c12-9ff08cd7c235,Resident,21.139423,79.063986,STR001,Store A - Sitabuldi,2035.0,1-3km,2035.0,2589.4,4403.1,2,"STR001,STR002",False
05c66a97-7ed5-40df-ba13-decdcf36c4a9,Shopper,21.139413,79.064018,STR001,Store A - Sitabuldi,2033.0,1-3km,2033.0,2587.3,4402.3,2,"STR001,STR002",True
068c322b-d03d-478b-9f90-ef7328fd9652,Shopper,21.160003,79.073,STR001,Store A - Sitabuldi,1328.1,1-3km,1328.1,1529.8,6806.9,2,"STR001,STR002",True
0693dc6b-98c0-445a-af74-f0fbf1cfe008,Resident,21.139419,79.063991,STR001,Store A - Sitabuldi,2034.9,1-3km,2034.9,2589.3,4402.7,2,"STR001,STR002",False
06bf0005-d04f-44bd-b795-43b618014fac,Resident,21.168689,79.105286,STR002,Store B - Civil Lines,2805.1,1-3km,3345.7,2805.1,8966.4,1,STR002,False
06fe108e-db8b-4227-9e8e-880f61c6a1be,Commuter,21.168698,79.105316,STR002,Store B - Civil Lines,2808.2,1-3km,3348.8,2808.2,8969.0,1,STR002,False
077b430a-4aa1-44d1-ab81-f12cef0b008a,Resident,21.168687,79.105314,STR002,Store B - Civil Lines,2807.2,1-3km,3347.9,2807.2,8967.8,1,STR002,False
091aa016-9d2b-4919-89a3-c8c96b5e45eb,Resident,21.160001,79.07301,STR001,Store A - Sitabuldi,1327.5,1-3km,1327.5,1528.9,6806.9,2,"STR001,STR002",False
092517c0-3be4-4b47-aa63-cd28f032caa0,Commuter,21.16868,79.105275,STR002,Store B - Civil Lines,2803.7,1-3km,3344.3,2803.7,8965.1,1,STR002,False
0a72e34d-7776-4826-967a-9f191eb5078c,Shopper,21.16871,79.105281,STR002,Store B - Civil Lines,2806.4,1-3km,3346.8,2806.4,8968.2,1,STR002,True
0aae165a-e194-479f-a87d-e9e148bed353,Shopper,21.13939,79.064,STR001,Store A - Sitabuldi,2036.0,1-3km,2036.0,2590.3,4399.5,2,"STR001,STR002",True
0ab466c0-3da4-4ec6-85d2-dd8ab0b89316,Commuter,21.139403,79.064007,STR001,Store A - Sitabuldi,2034.5,1-3km,2034.5,2588.8,4401.1,2,"STR001,STR002",False
0acd381a-525f-4f98-bd09-0c4cc181e62b,Commuter,21.139395,79.063977,STR001,Store A - Sitabuldi,2037.7,1-3km,2037.7,2592.0,4399.9,2,"STR001,STR002",False
0b4ac92d-d2f2-4b83-acc4-773c2f5d8f2e,Resident,21.168704,79.105265,STR002,Store B - Civil Lines,2804.6,1-3km,3345.0,2804.6,8966.7,1,STR002,False
0b6cd37e-8862-47a1-8c54-fe74c26067a0,Commuter,21.168704,79.105313,STR002,Store B - Civil Lines,2808.3,1-3km,3349.0,2808.3,8969.3,1,STR002,False
0ba133a0-835f-4ec3-a155-f98aeb4856d6,Commuter,21.168709,79.105294,STR002,Store B - Civil Lines,2807.2,1-3km,3347.8,2807.2,8968.8,1,STR002,False
0bd6e708-61ec-4871-a534-25de04addc60,Resident,21.168669,79.105321,STR002,Store B - Civil Lines,2806.4,1-3km,3347.2,2806.4,8966.4,1,STR002,False
0be9e257-e94f-49c6-b36a-eb6899b02a08,Resident,21.159976,79.073004,STR001,Store A - Sitabuldi,1325.4,1-3km,1325.4,1527.7,6804.0,2,"STR001,STR002",False
0c17d755-99b0-4b60-a34b-ffa925d48f25,Shopper,21.168701,79.105286,STR002,Store B - Civil Lines,2806.1,1-3km,3346.6,2806.1,8967.7,1,STR002,True
0d7a6f2c-8b23-476d-9f6d-ab43df6bed89,Commuter,21.139416,79.063979,STR001,Store A - Sitabuldi,2036.1,1-3km,2036.1,2590.5,4402.2,2,"STR001,STR002",False
0e0fe0b7-3c93-4249-b283-79cf159385a4,Resident,21.168706,79.105309,STR002,Store B - Civil Lines,2808.2,1-3km,3348.8,2808.2,8969.4,1,STR002,False
0e39cb7e-c646-4251-89c0-fa00a120ae94,Commuter,21.139402,79.063996,STR001,Store A - Sitabuldi,2035.6,1-3km,2035.6,2589.9,4400.8,2,"STR001,STR002",False
