visit_id,device_id,persona,store_id,store_name,category,entry_time,exit_time,dwell_minutes,ping_count,date,day_of_week
b742898c-a9f2-44b3-82bc-cf147226586a,608bcf60-9b8f-4f46-9a59-f3ca60a03af6,Shopper,STR001,Store A - Sitabuldi,Supermarket,2026-08-10 10:18:00,2026-08-10 11:09:00,51.0,18,2026-08-10,Monday
d385ea48-bd8a-4882-b3c4-2164094f64ce,2b9f5815-fb2c-4ed8-bb7e-a913d8946b72,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 11:09:00,2026-08-10 11:27:00,18.0,7,2026-08-10,Monday
94c5bd58-5e50-4f70-9ca0-8132956fa8a3,2b9f5815-fb2c-4ed8-bb7e-a913d8946b72,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 11:33:00,2026-08-10 12:03:00,30.0,11,2026-08-10,Monday
fa85015f-6aad-45b6-b831-7c6b210759b3,2ee7c863-4f25-4c74-95ad-1c40ab42f345,Shopper,STR002,Store B - Civil Lines,Mall,2026-08-10 10:59:00,2026-08-10 11:47:00,48.0,17,2026-08-10,Monday
ed907e6d-da18-403a-8151-e421c1dde4b6,2ee7c863-4f25-4c74-95ad-1c40ab42f345,Shopper,STR002,Store B - Civil Lines,Mall,2026-08-10 11:53:00,2026-08-10 12:05:00,12.0,5,2026-08-10,Monday
93fe6e26-4860-45a5-8754-b3bc5cb6758a,087ec914-5793-43b4-9e97-cf562fd84f0a,Shopper,STR002,Store B - Civil Lines,Mall,2026-08-10 10:10:00,2026-08-10 11:46:00,96.0,33,2026-08-10,Monday
5a2d6f5c-0dec-43aa-a4e1-3096653f196d,c276cae0-efa2-4704-9de5-6f678953a712,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 11:55:00,2026-08-10 12:31:00,36.0,13,2026-08-10,Monday
7a447a53-f48f-4d64-87f5-4713ae0b1e7e,ce95eaab-b25f-4916-a1e4-ea3e24f9fa51,Shopper,STR001,Store A - Sitabuldi,Supermarket,2026-08-10 12:13:00,2026-08-10 12:58:00,45.0,16,2026-08-10,Monday
741595e4-c680-4523-a08b-1382aa5ee1c8,54f55f8b-6881-45e9-8a04-0a33b2d0df28,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 11:41:00,2026-08-10 13:02:00,81.0,28,2026-08-10,Monday
ada739df-ec40-45a0-b0ee-6a4eeaa7e0d1,55e72f14-a6a8-4414-aa26-b524114c5258,Shopper,STR001,Store A - Sitabuldi,Supermarket,2026-08-10 10:25:00,2026-08-10 11:01:00,36.0,13,2026-08-10,Monday
a7cc6832-0946-4555-9edb-b5524b4d72b5,f265b06d-e8b2-43a7-9f7e-e5bebd1f3932,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 11:37:00,2026-08-10 12:16:00,39.0,14,2026-08-10,Monday
d71e06ca-1327-48cd-94c2-8a350b3ac38c,c3dba69c-83f4-4dd9-92c9-0da61eb416eb,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 10:25:00,2026-08-10 11:07:00,42.0,15,2026-08-10,Monday
5994f28a-a1bd-44d3-9e8b-557a4e1a704f,fe2a0b7d-d193-415b-9a24-50d26a4972dc,Shopper,STR002,Store B - Civil Lines,Mall,2026-08-10 11:02:00,2026-08-10 11:56:00,54.0,19,2026-08-10,Monday
0729abfa-dd91-4a7a-9522-b53f7fe573c8,3b504b7d-26d5-44ac-bbd3-d68cd2744721,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 11:42:00,2026-08-10 11:48:00,6.0,3,2026-08-10,Monday
0b5d63c5-e84f-45b8-b336-11bb0bee1b52,3b504b7d-26d5-44ac-bbd3-d68cd2744721,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 11:54:00,2026-08-10 12:39:00,45.0,16,2026-08-10,Monday
8242745c-3fc1-43e2-8722-8cd5b149a882,fa89954a-f45c-4bd7-9f8e-6739f657c679,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 12:29:00,2026-08-10 13:08:00,39.0,14,2026-08-10,Monday
46073879-63da-4eaa-882a-42cfda1eaa30,27119787-8d0d-415c-8d2b-8c1230627b6b,Shopper,STR002,Store B - Civil Lines,Mall,2026-08-10 11:45:00,2026-08-10 13:09:00,84.0,29,2026-08-10,Monday
68ada581-af7c-4310-9e2c-208427f9c0b9,affd1937-aebf-4c01-8e45-b25da7a9747e,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 12:29:00,2026-08-10 13:08:00,39.0,14,2026-08-10,Monday
27068ff5-3946-461d-a68c-08e0392a0303,40d26b40-2af9-4f8f-a464-7ff5a5f86702,Shopper,STR002,Store B - Civil Lines,Mall,2026-08-10 10:43:00,2026-08-10 11:49:00,66.0,23,2026-08-10,Monday
61f1e2cd-c3b8-4c83-a458-229f02476410,d62b3419-434f-440c-8fa2-c5f8f26f2199,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 10:51:00,2026-08-10 11:03:00,12.0,5,2026-08-10,Monday
1bc70c15-8a3d-44f7-a92d-3d52c1c30352,d62b3419-434f-440c-8fa2-c5f8f26f2199,Shopper,STR003,Store C - Wardha Road,Hypermarket,2026-08-10 11:09:00,2026-08-10 11:51:00,42.0,15,2026-08-10,Monday
b949345b-8c3d-4abe-8ec1-a4f6700a9a3f,49dd6ac3-f6cf-4ecc-8820-818414678298,Shopper,STR002,Store B - Civil Lines,Mall,2026-08-10 10:45:00,2026-08-10 11:21:00,36.0,13,2026-08-10,Monday
